#Frame      Mode1    Mode2    Mode3
     404   10.275    2.158   -3.894
     405    8.637    2.817   -4.608
     406    8.873    2.705   -5.099
     407    7.959    0.451   -3.756
     408    8.568    2.678   -5.546
     409    8.339    1.104   -3.631
     410    9.697    0.449   -3.489
     411    5.830    3.170   -5.041
     412    8.509    1.571   -4.181
     413    8.293    1.880   -3.449
     414    8.591    1.183   -5.682
     415   10.588    3.569   -4.828
     416    9.038    1.241   -4.603
     417    9.251    1.090   -5.509
     418    8.565    0.770   -4.602
     419    5.682    2.781   -3.226
     420    9.689   -0.610   -8.383
     421    9.015    3.095   -6.531
     422   10.609    1.737   -8.462
     423   10.503    2.969   -6.889
     424    9.293    3.396   -6.183
     425   11.637    0.814   -6.013
     426   10.176    2.521   -5.768
     427   10.187    0.098   -4.898
     428    9.110   -0.952   -1.883
     429    7.063    1.583   -4.115
     430    7.897    3.441   -5.975
     431    9.133    3.320   -6.518
     432    9.698   -0.895   -5.312
     433    8.418    1.208   -5.027
     434    7.363    2.413   -6.110
     435    7.175   -0.745   -5.293
     436    8.770    0.342   -3.037
     437   12.528   -0.424   -5.969
     438    8.273    1.768   -5.753
     439    9.043    0.675   -0.242
     440    9.521   -1.391   -7.191
     441    8.293    0.794  -11.871
     442   10.378    0.986  -11.574
     443   10.404   -0.410  -11.699
     444    9.034   -1.313   -5.203
     445    9.194   -1.141   -8.403
     446    8.381    0.928   -8.384
     447    9.112   -0.093  -10.032
     448    9.225    0.595   -7.142
     449    7.544    1.556   -9.376
     450    8.897    0.757  -10.707
     451    9.165    1.084   -8.438
     452    8.794    0.571   -8.162
     453   11.021    1.888  -10.197
     454   11.288   -0.103  -10.170
     455    8.621   -0.770   -8.388
     456    9.774    1.007   -9.072
     457   10.134    2.343  -10.641
     458    7.753   -1.423   -7.551
     459    8.250    1.214   -8.028
     460    8.777    1.771  -11.582
     461    9.294   -1.427   -9.495
     462    7.905    1.581   -6.437
     463    7.678    0.308   -2.036
     464    8.120   -0.101    0.544
     465   11.574    0.944   -0.811
     466    9.450    1.438   -2.522
     467    9.178    1.294   -2.297
     468    9.310    2.566   -1.639
     469    9.005    3.035   -1.334
     470    8.720    2.159   -1.388
     471    8.741    2.549   -1.896
     472   10.022    2.729   -2.928
     473    9.496    0.364   -5.276
     474   10.396    0.240   -4.540
     475    9.715    0.394   -7.989
     476    9.275   -1.628    2.386
     477    8.345    1.126    1.196
     478    8.623    0.743   -5.726
     479    6.363   -0.531    0.824
     480    8.394   -0.029    0.256
     481   10.449   -1.258   -0.857
     482    8.284    0.110   -0.451
     483   12.485    0.317   -1.380
     484   12.596    1.458   -1.768
     485   10.003    1.398   -3.071
     486   12.108    0.507   -0.118
     487    8.031    1.917    0.654
     488    8.184    4.507   -5.202
     489    8.739   -0.538   -0.465
     490    9.670    1.738   -4.539
     491    8.048   -2.253   -1.291
     492   11.049   -1.637   -1.985
     493    9.488   -0.017   -4.100
     494   10.598    0.532    1.787
     495   11.659    2.228   -3.648
     496    9.613    0.496   -4.739
     497   12.151   -2.472   -3.481
     498   12.303    0.187   -5.212
     499   11.023   -0.690   -6.673
     500   11.229    3.064   -7.296
     501   11.927   -0.914   -8.850
     502   11.328   -1.131   -7.248
     503   11.429    1.420   -6.592
     504   11.864   -0.472   -8.293
     505   11.649    0.097   -7.656
     506   12.593    0.898   -9.068
     507   12.684   -1.399   -7.006
     508   11.744   -0.338   -7.876
     509   13.162   -0.250   -8.618
     510   12.134    0.648   -7.304
     511   12.479   -1.114   -7.871
     512   10.784    2.912   -8.237
     513   12.074    1.825   -9.609
     514   10.733    2.636   -8.039
     515   11.781    1.621   -8.581
     516   11.874    0.339   -8.637
     517   10.425    0.792   -8.482
     518   10.968    0.920   -9.459
     519    9.962   -0.272   -8.611
     520   10.685    1.227   -7.637
     521   12.750    1.803   -7.985
     522   12.581    3.350   -7.484
     523   10.431    2.705   -7.841
     524   11.789   -0.108   -8.123
     525   10.212   -1.783   -7.493
     526   11.886   -2.104   -8.126
     527   11.121   -0.720   -8.247
     528   12.072    0.553   -7.942
     529   10.936   -0.189   -7.685
     530   11.953    2.452   -8.919
     531   10.987   -0.627   -6.259
     532   12.559   -0.263   -8.876
     533   12.107    2.673   -9.346
     534   11.597   -4.351   -6.774
     535   12.233    0.155   -8.968
     536   10.670    2.178   -8.299
     537   10.600    2.562   -8.814
     538   12.819    3.703   -9.546
     539   11.334    3.760   -7.516
     540   10.623    2.909   -8.935
     541    9.117    1.934   -8.252
     542   10.866    1.892   -7.699
     543   10.027    0.531   -9.279
     544   11.001    2.838   -9.689
     545   12.510    2.142   -8.523
     546   11.670    2.601   -6.781
     547   11.126   -0.594   -3.652
     548   11.306   -1.525   -3.214
     549   10.698    6.476   -4.222
     550   12.834   -1.239   -6.595
     551   13.216    0.530   -5.076
     552   12.195    0.619   -6.882
     553   12.735    2.185   -9.094
     554   12.261    3.255   -9.526
     555   10.329   -1.177   -9.262
     556   10.621   -1.441   -8.340
     557   10.338    0.732   -7.456
     558   12.334    2.659   -6.759
     559   12.630   -0.598   -7.035
     560   10.247   -1.455   -6.586
     561   12.544   -1.388   -6.346
     562   11.938    0.439   -6.539
     563   10.551   -2.835   -6.493
     564   11.045   -2.936   -6.078
     565   11.304   -1.950   -3.334
     566    9.856   -0.298   -6.585
     567   11.559    2.242   -8.939
     568    9.241    0.531   -6.504
     569   12.083   -2.064   -7.673
     570   12.320   -2.919   -6.825
     571   14.079   -0.095   -8.083
     572   13.285    1.405  -10.441
     573   12.518    2.016   -7.279
     574   11.263    2.320   -7.887
     575   10.093    1.646   -8.836
     576   12.729    1.494   -8.655
     577   11.086   -0.655   -7.760
     578   11.838   -2.638   -6.986
     579    9.680    2.991   -6.719
     580   12.012    2.111   -2.840
     581   11.645   -0.866   -2.303
     582   12.732   -0.754   -4.902
     583   14.112   -3.305   -2.866
     584   10.399   -3.301   -3.073
     585   12.822   -0.731   -3.954
     586   13.750    2.272   -5.226
     587   14.411    2.182   -6.753
     588   13.354    1.404   -6.734
     589   13.704    2.002   -6.415
     590   11.831    1.542   -8.666
     591    9.169    4.094   -5.169
     592    9.000    7.612   -4.387
     593    4.104    6.276   -1.948
     594    8.683   10.479    0.171
     595    9.664    3.218   -2.807
     596    5.079    2.662    0.046
     597    6.258    2.263    1.425
     598    7.843   -0.043    3.457
     599    8.875    1.336    5.024
     600    7.668    3.242    3.156
     601    6.268    6.656    6.180
     602    7.809    2.812    4.748
     603    7.245    3.230    4.649
     604    7.466    2.022    3.657
     605    7.106    2.096    3.962
     606    8.598    4.045    2.863
     607    7.370    3.851    3.115
     608    9.406    3.357    1.084
     609    6.930    5.216    2.227
     610    6.583    4.684    1.506
     611    5.456    7.084    0.010
     612    5.286    6.339   -2.344
     613    6.128    4.807    1.701
     614    4.941   10.672    1.565
     615    6.738    5.860    0.559
     616    7.260    8.837   -1.828
     617    4.839    7.235   -1.921
     618    2.687    7.853   -4.919
     619    7.264    6.019   -4.450
     620    6.862    6.752   -6.000
     621    4.871    7.775    0.551
     622    2.313    6.697   -1.183
     623    0.738    5.799   -2.860
     624   -0.954    7.831   -0.515
     625    4.001    5.721   -2.453
     626    5.558    7.622    2.912
     627    5.958    8.205   -1.436
     628    6.448    7.755   -2.284
     629    4.389    8.323   -3.088
     630    4.184    6.837   -3.373
     631    6.947    7.773   -3.377
     632    5.383    6.388   -2.147
     633    7.184    5.415   -2.207
     634    6.388   11.085   -1.275
     635    6.452    9.780   -2.272
     636    5.166    9.611   -2.666
     637    5.270    6.417   -0.800
     638    6.762    8.200   -3.581
     639    6.557    4.722   -1.627
     640    4.309   10.645    0.639
     641    6.925    7.877    0.551
     642    6.750    9.718   -1.466
     643    4.267    9.363    0.184
     644    5.657    9.145    5.693
     645    7.553    8.724    2.885
     646    4.076    6.137    2.367
     647    4.847    7.344   -0.835
     648    1.857    7.462    0.990
     649    3.453    9.068   -1.182
     650    5.890    6.699   -0.226
     651    5.503    8.238   -0.350
     652    2.134    5.766    2.360
     653    1.532    3.974   -0.301
     654    2.829    6.409    0.675
     655    2.768    8.205    0.738
     656    2.352    7.306    1.539
     657    3.133    9.570    1.056
     658    6.792    7.884    3.441
     659    2.838    7.559    0.301
     660    4.616    9.379   -1.815
     661    5.873    7.375   -0.103
     662    3.017    9.479   -2.009
     663    5.294    6.335   -2.391
     664    1.094    7.155   -0.443
     665    3.136    9.670   -1.828
     666    2.831    8.330   -0.990
     667    3.931    8.543   -1.325
     668    4.473    8.520   -2.627
     669    2.826    9.488    0.859
     670    5.136    8.652   -1.416
     671    5.556    9.001   -0.873
     672    4.259   13.199   -0.725
     673    4.514   10.465   -0.564
     674    2.638    9.290   -2.141
     675    3.917    6.180   -1.589
     676    4.645    5.532   -0.295
     677    0.624    4.183   -1.355
     678    2.328    7.393    1.307
     679    2.973    2.261    3.760
     680    1.222    6.534    0.666
     681    2.297    7.476    0.693
     682    1.999    7.087   -0.682
     683    2.406    8.008   -0.127
     684    4.568    7.958   -0.190
     685    2.477    9.725    2.774
     686    3.257    6.935    5.768
     687    5.015    5.804    4.446
     688    4.946    6.830    1.555
     689    4.486    6.853    2.991
     690    4.604    7.926    1.861
     691    5.729    5.079    4.745
     692    5.208    5.141    4.641
     693    6.214    7.987    5.335
     694    1.795    7.777    9.451
     695    3.364    5.974    8.694
     696    3.085    6.098    9.520
     697    3.685    4.105   10.300
     698    3.561    5.577    6.707
     699    2.817    5.346    5.609
     700    4.406    4.434    3.905
     701    1.085    6.633    4.733
     702    4.032    8.003    3.016
     703    4.322    8.531    1.430
     704    4.184    8.045    2.926
     705    1.338    9.600    4.440
     706    3.584    8.926    4.461
     707    3.332    6.927    4.775
     708    3.638    8.661    5.263
     709    4.712    4.074   -0.646
     710    4.871    9.663    0.898
     711    3.413    9.362    2.687
     712    3.248    7.347    3.818
     713    3.107    6.792    2.267
     714    3.724    4.971    3.873
     715    3.737    8.482    3.103
     716    5.100    9.392    5.879
     717    6.381    7.037    2.813
     718    3.280    8.179    4.720
     719    2.757    5.158    7.435
     720    3.590    7.483    6.666
     721    2.426    7.715    6.480
     722    1.345    9.372    9.871
     723    3.119    8.830    8.157
     724    7.222    6.567    5.046
     725    4.262    9.902    3.354
     726    5.811   10.538    7.593
     727    3.035    6.628    5.822
     728    2.994    7.870    7.274
     729    4.341    8.808    5.729
     730    3.112    6.771    6.167
     731    1.399   10.815    5.745
     732    1.056    8.029    6.142
     733    0.339    8.928    7.550
     734   -0.613    3.838    9.669
     735    3.338    1.114    6.604
     736    2.302    5.501    7.685
     737    2.846    4.031   10.328
     738    4.000    6.293    5.723
     739    2.121    5.679    7.299
     740    1.264    7.246    5.322
     741   -0.587    7.401    2.570
     742    1.343    7.501    3.132
     743   -0.330    5.195    4.073
     744    0.911    5.281    3.812
     745    0.042    6.236    3.474
     746    0.986    5.972    2.945
     747    0.337    7.237    3.865
     748    1.062    9.203    3.521
     749    0.755    9.792    3.209
     750    2.303   10.111    0.126
     751    3.536    8.765    7.444
     752    3.456    6.768    6.850
     753    4.232    7.304    7.335
     754    1.839    5.507    7.449
     755    2.516    5.432    8.281
     756    1.891    5.955    5.509
     757    2.083    7.839    5.795
     758   -0.023    7.947    6.654
     759    0.932    7.063    8.738
     760    1.358    6.994    5.725
     761    2.938    9.002    4.155
     762    3.405    7.360    3.567
     763    3.264    7.048    2.756
     764    3.334    7.623    1.833
     765    2.676    8.321    4.022
     766    2.372    9.211    3.108
     767    3.102   10.603    1.581
     768    3.932    7.622    2.861
     769    4.084   10.630    1.810
     770    5.763    8.324    4.051
     771    4.097   10.753    2.307
     772    3.559   10.950    1.027
     773    7.227    9.737    1.107
     774    6.362    8.686    4.568
     775    6.822   11.204    3.549
     776    7.496    8.068    2.933
     777    7.285    9.345    3.364
     778    7.419   11.801    1.411
     779    9.087    7.423    3.218
     780    7.033    8.878   -1.776
     781    7.110    9.433   -1.664
     782    8.600   10.563   -3.023
     783    9.549    7.427   -0.996
     784    7.933    9.168   -1.917
     785   11.909    7.408   -0.916
     786    8.727   10.406   -1.293
     787    8.492    7.898   -2.085
     788   11.959    7.502   -1.639
     789   10.688    7.289   -0.016
     790   10.268    6.998    0.813
     791    8.646   10.252   -1.612
     792   10.098   10.896   -1.381
     793    6.368    9.561   -0.336
     794    7.428    9.618    2.714
     795   10.517    6.536    1.451
     796    7.694   12.981   -1.473
     797    7.601   13.867   -5.133
     798    6.777   11.453   -1.232
     799    4.996    9.969   -0.545
     800    7.807   12.341   -1.001
     801    3.476   11.557   -3.651
     802    4.098    9.197    1.887
     803    5.120   10.363   -1.319
     804    4.665    8.924   -2.197
     805    3.431    6.362    0.710
     806    1.112    5.198    0.706
     807    4.680    7.969    2.381
     808    2.463    9.916    1.980
     809    4.373    7.618   -0.203
     810    2.242    7.700    1.467
     811    4.380    8.263   -0.923
     812    5.449    5.518   -2.090
     813    2.845    4.050    5.816
     814    3.812    5.689    2.572
     815    1.987    9.840    4.575
     816    1.950    4.333    5.839
     817    2.405    5.400    5.787
     818    1.965    9.085    4.724
     819    2.605    5.819    5.302
     820    1.186    4.086    6.381
     821    2.238    6.958    5.093
     822    1.942    4.014    3.628
     823    1.971    1.998    4.450
     824    3.477    7.754    3.791
     825    4.467    5.555    4.477
     826    3.005    8.795    4.712
     827    2.106    5.017    3.269
     828   -1.069    6.561    3.684
     829    0.730    3.517    4.019
     830    0.949    6.440    5.772
     831    1.733    8.501    1.208
     832    1.918    6.777    5.127
     833    1.268    7.662    2.610
     834    4.595    8.902    3.371
     835    3.357    8.662    1.586
     836    4.703    6.114    3.432
     837    3.621    6.612    2.878
     838    1.158    9.646    3.867
     839    3.170    5.246    1.661
     840    2.092    7.620    2.545
     841    2.581    7.178    1.637
     842    2.870    6.547    3.284
     843    3.260    6.388    5.208
     844    1.043    7.543    1.346
     845    1.389    6.445    1.010
     846    1.713    6.922    6.429
     847    2.667    5.236    4.100
     848    1.404    7.969    2.752
     849    0.643    7.212    3.742
     850    2.941    5.516    3.770
     851    2.603    6.274    1.990
     852    3.505    6.610    3.912
     853    0.008   11.573    2.735
     854    2.161    7.422    3.583
     855    3.810    6.867    4.621
     856    1.895    9.430    0.904
     857    5.112    5.531    1.328
     858    4.277    7.628    0.403
     859    2.233   10.050   -3.919
     860    3.565    9.021   -0.584
     861    3.291   11.365    1.098
     862    7.610    7.581    0.477
     863    5.647    6.137   -0.722
     864    6.260    7.753   -2.850
     865    4.417    6.615   -4.634
     866    3.163    8.614   -1.914
     867    5.854    8.470   -3.806
     868    4.519    5.034   -4.197
     869    5.507    7.801   -3.555
     870    3.713   10.030   -4.295
     871    4.276    8.003   -2.006
     872    2.773   12.613   -2.015
     873    4.300    8.766   -1.696
     874    2.286    9.466   -3.087
     875    2.934   10.664   -4.717
     876    2.202    8.420   -3.625
     877    1.422    6.072   -1.650
     878    1.877    8.236   -3.356
     879    2.822   11.650   -4.784
     880    3.893    7.755   -3.363
     881    2.128   11.180   -0.395
     882    2.509    9.634   -1.509
     883   -1.164    4.733   -2.551
     884    2.257    4.779    6.015
     885    0.539    6.950    1.606
     886    1.147   10.694    2.634
     887   -0.141    9.882    0.324
     888    1.478    6.434    4.474
     889    1.286    6.429    3.315
     890    0.364    7.150    6.831
     891    1.712    5.030    5.680
